iloc,x,y,z,t
0,1.0,0.0,0,3600
1,1.0,0.6809427067927766,0,3600
2,1.0,1.3618854135855532,0,3600
3,1.0,2.0428281203783296,0,3600
4,1.0,2.7237708271711063,0,3600
5,1.0,3.404713533963883,0,3600
6,1.0,4.085656240756659,0,3600
7,2.154434690031884,0.0,0,3600
8,2.154434690031884,1.4725339462931353,0,3600
9,2.154434690031884,2.9450678925862706,0,3600
10,2.154434690031884,4.417601838879406,0,3600
11,2.154434690031884,5.890135785172541,0,3600
12,2.154434690031884,7.362669731465676,0,3600
13,2.154434690031884,8.835203677758813,0,3600
14,4.641588833612778,0.0,0,3600
15,4.641588833612778,3.220818985810653,0,3600
16,4.641588833612778,6.441637971621306,0,3600
17,4.641588833612778,9.66245695743196,0,3600
18,4.641588833612778,12.883275943242612,0,3600
19,4.641588833612778,16.104094929053264,0,3600
20,4.641588833612778,19.32491391486392,0,3600
21,10.0,0.0,0,3600
22,10.0,7.1254710423656915,0,3600
23,10.0,14.250942084731383,0,3600
24,10.0,21.376413127097074,0,3600
25,10.0,28.501884169462766,0,3600
26,10.0,35.62735521182846,0,3600
27,10.0,42.75282625419415,0,3600
28,21.544346900318832,0.0,0,3600
29,21.544346900318832,12.222526573760437,0,3600
30,21.544346900318832,24.445053147520873,0,3600
31,21.544346900318832,36.667579721281314,0,3600
32,21.544346900318832,48.89010629504175,0,3600
33,21.544346900318832,61.11263286880218,0,3600
34,21.544346900318832,73.33515944256263,0,3600
35,46.41588833612777,0.0,0,3600
36,46.41588833612777,20.553186780742912,0,3600
37,46.41588833612777,41.106373561485825,0,3600
38,46.41588833612777,61.65956034222874,0,3600
39,46.41588833612777,82.21274712297165,0,3600
40,46.41588833612777,102.76593390371457,0,3600
41,46.41588833612777,123.31912068445747,0,3600
42,100.0,0.0,0,3600
43,100.0,33.88192805427227,0,3600
44,100.0,67.76385610854454,0,3600
45,100.0,101.64578416281682,0,3600
46,100.0,135.5277122170891,0,3600
47,100.0,169.40964027136135,0,3600
48,100.0,203.29156832563365,0,3600
49,215.44346900318823,0.0,0,3600
50,215.44346900318823,78.31752345185046,0,3600
51,215.44346900318823,156.63504690370092,0,3600
52,215.44346900318823,234.9525703555514,0,3600
53,215.44346900318823,313.27009380740185,0,3600
54,215.44346900318823,391.5876172592523,0,3600
55,215.44346900318823,469.9051407111028,0,3600
56,464.15888336127773,0.0,0,3600
57,464.15888336127773,158.33780761844312,0,3600
58,464.15888336127773,316.67561523688624,0,3600
59,464.15888336127773,475.0134228553294,0,3600
60,464.15888336127773,633.3512304737725,0,3600
61,464.15888336127773,791.6890380922156,0,3600
62,464.15888336127773,950.0268457106588,0,3600
63,1000.0,0.0,0,3600
64,1000.0,279.99170194829594,0,3600
65,1000.0,559.9834038965919,0,3600
66,1000.0,839.9751058448878,0,3600
67,1000.0,1119.9668077931838,0,3600
68,1000.0,1399.9585097414797,0,3600
69,1000.0,1679.9502116897756,0,3600
70,2154.4346900318824,0.0,0,3600
71,2154.4346900318824,477.5814618500575,0,3600
72,2154.4346900318824,955.162923700115,0,3600
73,2154.4346900318824,1432.7443855501724,0,3600
74,2154.4346900318824,1910.32584740023,0,3600
75,2154.4346900318824,2387.9073092502877,0,3600
76,2154.4346900318824,2865.488771100345,0,3600
77,4641.588833612777,0.0,0,3600
78,4641.588833612777,889.8790959707487,0,3600
79,4641.588833612777,1779.7581919414974,0,3600
80,4641.588833612777,2669.6372879122464,0,3600
81,4641.588833612777,3559.516383882995,0,3600
82,4641.588833612777,4449.395479853743,0,3600
83,4641.588833612777,5339.274575824493,0,3600
84,10000.0,0.0,0,3600
85,10000.0,1555.1669505134257,0,3600
86,10000.0,3110.3339010268514,0,3600
87,10000.0,4665.500851540277,0,3600
88,10000.0,6220.667802053703,0,3600
89,10000.0,7775.834752567129,0,3600
90,10000.0,9331.001703080554,0,3600
91,21544.346900318822,0.0,0,3600
92,21544.346900318822,3586.913164780714,0,3600
93,21544.346900318822,7173.826329561428,0,3600
94,21544.346900318822,10760.739494342142,0,3600
95,21544.346900318822,14347.652659122856,0,3600
96,21544.346900318822,17934.56582390357,0,3600
97,21544.346900318822,21521.478988684285,0,3600
98,46415.888336127726,0.0,0,3600
99,46415.888336127726,8719.603113254236,0,3600
100,46415.888336127726,17439.20622650847,0,3600
101,46415.888336127726,26158.80933976271,0,3600
102,46415.888336127726,34878.41245301694,0,3600
103,46415.888336127726,43598.01556627118,0,3600
104,46415.888336127726,52317.61867952542,0,3600
105,100000.0,0.0,0,3600
106,100000.0,22341.10154820498,0,3600
107,100000.0,44682.20309640996,0,3600
108,100000.0,67023.30464461494,0,3600
109,100000.0,89364.40619281992,0,3600
110,100000.0,111705.5077410249,0,3600
111,100000.0,134046.60928922988,0,3600
