,case,type,hp_done,fp_done,flag,agent_hp,agent_fp,Q_kg,time,U,stability,iwind,istab,zi,surface_temperature,atmPressure,surface_type,sig_x0,sig_y0,sig_z0,py_evap_rate,depletion_time,fn_hpac_conc,fn_hpac_dose,fn_fp_xyzt,fn_fp_params_out,fn_fp_output
0,1,evp,,,1,ACETONE,Acetone,100,3600,0.8,D,1,3,5500,10,760,SUR_POROUS,1.30384,1.30384,0.1,10280.7538499488,9732.32,evp_hpac_conc_001.tab,evp_hpac_dose_001.tab,xyzt_13.csv,evp_fp_params_001.csv,evp_fp_out_001.csv
1,2,evp,,,1,ACETONE,Acetone,100,3600,0.8,D,1,3,5500,20,760,SUR_POROUS,1.30384,1.30384,0.1,15848.7302339922,6313.11,evp_hpac_conc_002.tab,evp_hpac_dose_002.tab,xyzt_13.csv,evp_fp_params_002.csv,evp_fp_out_002.csv
2,3,evp,,,1,ACETONE,Acetone,100,3600,0.8,D,1,3,5500,30,760,SUR_POROUS,1.30384,1.30384,0.1,23624.725839629,4235.14,evp_hpac_conc_003.tab,evp_hpac_dose_003.tab,xyzt_13.csv,evp_fp_params_003.csv,evp_fp_out_003.csv
3,4,evp,,,1,ACETONE,Acetone,100,3600,9.6,D,5,3,5500,10,760,SUR_POROUS,1.30384,1.30384,0.1,75053.3286010815,1333.13,evp_hpac_conc_004.tab,evp_hpac_dose_004.tab,xyzt_53.csv,evp_fp_params_004.csv,evp_fp_out_004.csv
4,5,evp,,,1,ACETONE,Acetone,100,3600,9.6,D,5,3,5500,20,760,SUR_POROUS,1.30384,1.30384,0.1,115701.628063747,864.766,evp_hpac_conc_005.tab,evp_hpac_dose_005.tab,xyzt_53.csv,evp_fp_params_005.csv,evp_fp_out_005.csv
5,6,evp,,,1,ACETONE,Acetone,100,3600,9.6,D,5,3,5500,30,760,SUR_POROUS,1.30384,1.30384,0.1,172469.289453999,580.126,evp_hpac_conc_006.tab,evp_hpac_dose_006.tab,xyzt_53.csv,evp_fp_params_006.csv,evp_fp_out_006.csv
6,7,evp,,,1,ACETONE,Acetone,100,3600,12,D,6,3,5500,10,760,SUR_POROUS,1.30384,1.30384,0.1,89721.7980315092,1115.18,evp_hpac_conc_007.tab,evp_hpac_dose_007.tab,xyzt_63.csv,evp_fp_params_007.csv,evp_fp_out_007.csv
7,8,evp,,,1,ACETONE,Acetone,100,3600,12,D,6,3,5500,20,760,SUR_POROUS,1.30384,1.30384,0.1,138314.426535677,723.387,evp_hpac_conc_008.tab,evp_hpac_dose_008.tab,xyzt_63.csv,evp_fp_params_008.csv,evp_fp_out_008.csv
8,9,evp,,,1,ACETONE,Acetone,100,3600,12,D,6,3,5500,30,760,SUR_POROUS,1.30384,1.30384,0.1,206176.79513293,485.283,evp_hpac_conc_009.tab,evp_hpac_dose_009.tab,xyzt_63.csv,evp_fp_params_009.csv,evp_fp_out_009.csv
9,10,evp,,,1,gb,GB,10,3600,4.1,D,3,3,5500,10,760,SUR_NONPOROUS,1.1595,1.1595,0.1,518.714717179522,19289.7,evp_hpac_conc_010.tab,evp_hpac_dose_010.tab,xyzt_33.csv,evp_fp_params_010.csv,evp_fp_out_010.csv
10,11,evp,,,1,gb,GB,10,3600,4.1,D,3,3,5500,30,760,SUR_NONPOROUS,1.1595,1.1595,0.1,1799.0591951368,5561.63,evp_hpac_conc_011.tab,evp_hpac_dose_011.tab,xyzt_33.csv,evp_fp_params_011.csv,evp_fp_out_011.csv
11,12,evp,,,1,gb,GB,10,3600,0.8,D,1,3,5500,30,760,SUR_POROUS,0.412311,0.412311,0.1,75.6843023512932,132203,evp_hpac_conc_012.tab,evp_hpac_dose_012.tab,xyzt_13.csv,evp_fp_params_012.csv,evp_fp_out_012.csv
12,13,evp,,,1,gb,GB,10,3600,4.1,D,3,3,5500,10,760,SUR_POROUS,0.412311,0.412311,0.1,80.6573640123602,124054,evp_hpac_conc_013.tab,evp_hpac_dose_013.tab,xyzt_33.csv,evp_fp_params_013.csv,evp_fp_out_013.csv
13,14,evp,,,1,gb,GB,10,3600,9.6,D,5,3,5500,30,760,SUR_POROUS,0.412311,0.412311,0.1,552.523569499091,18109.1,evp_hpac_conc_014.tab,evp_hpac_dose_014.tab,xyzt_53.csv,evp_fp_params_014.csv,evp_fp_out_014.csv
14,15,evp,,,1,gb,GB,10,3600,12,D,6,3,5500,30,760,SUR_POROUS,0.412311,0.412311,0.1,660.509121104212,15148.5,evp_hpac_conc_015.tab,evp_hpac_dose_015.tab,xyzt_63.csv,evp_fp_params_015.csv,evp_fp_out_015.csv
15,16,evp,,,1,hd,HD,10,3600,4.1,D,3,3,5500,10,760,SUR_NONPOROUS,1.1595,1.1595,0.1,15.0477308187989,664942,evp_hpac_conc_016.tab,evp_hpac_dose_016.tab,xyzt_33.csv,evp_fp_params_016.csv,evp_fp_out_016.csv
16,17,evp,,,1,hd,HD,10,3600,4.1,D,3,3,5500,30,760,SUR_NONPOROUS,1.1595,1.1595,0.1,83.894210448949,119266,evp_hpac_conc_017.tab,evp_hpac_dose_017.tab,xyzt_33.csv,evp_fp_params_017.csv,evp_fp_out_017.csv
17,18,evp,,,1,hd,HD,10,3600,0.8,D,1,3,5500,30,760,SUR_POROUS,0.412311,0.412311,0.1,3.52933066699813,2835020,evp_hpac_conc_018.tab,evp_hpac_dose_018.tab,xyzt_13.csv,evp_fp_params_018.csv,evp_fp_out_018.csv
18,19,evp,,,1,hd,HD,10,3600,4.1,D,3,3,5500,10,760,SUR_POROUS,0.412311,0.412311,0.1,2.33984165479503,4276300,evp_hpac_conc_019.tab,evp_hpac_dose_019.tab,xyzt_33.csv,evp_fp_params_019.csv,evp_fp_out_019.csv
19,20,evp,,,1,hd,HD,10,3600,9.6,D,5,3,5500,30,760,SUR_POROUS,0.412311,0.412311,0.1,25.7654271426219,388339,evp_hpac_conc_020.tab,evp_hpac_dose_020.tab,xyzt_53.csv,evp_fp_params_020.csv,evp_fp_out_020.csv
20,21,evp,,,1,hd,HD,10,3600,12,D,6,3,5500,30,760,SUR_POROUS,0.412311,0.412311,0.1,30.8010383200057,324850,evp_hpac_conc_021.tab,evp_hpac_dose_021.tab,xyzt_63.csv,evp_fp_params_021.csv,evp_fp_out_021.csv
