case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
8,3,12,1,0,0,3600,485.283,2.03,2.03,0.204326,3.90492,0.196523,6.22912e-310,7.67408e+07,9.07775722e+03,0.00000000e+00,4.40528126e+06,4.40528126e+06,
8,3,1.20000000e+01,1.00000000e+00,3.61262926e-01,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.02999902e+00,2.02999902e+00,2.04325631e-01,3.90491881e+00,1.93435903e-01,6.22911864e-310,7.55351496e+07,8.93514075e+03,0.00000000e+00,4.33607191e+06,4.33607191e+06,
8,3,1.20000000e+01,1.00000000e+00,7.22525853e-01,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.02999902e+00,2.02999902e+00,2.04325631e-01,3.90491881e+00,1.84461437e-01,6.22911864e-310,7.20306937e+07,8.52059458e+03,0.00000000e+00,4.13489970e+06,4.13489970e+06,
8,3,1.20000000e+01,1.00000000e+00,1.08378878e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.02999902e+00,2.02999902e+00,2.04325631e-01,3.90491881e+00,1.70419686e-01,6.22911864e-310,6.65475038e+07,7.87198167e+03,0.00000000e+00,3.82013888e+06,3.82013888e+06,
8,3,1.20000000e+01,1.00000000e+00,1.44505171e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.02999902e+00,2.02999902e+00,2.04325631e-01,3.90491881e+00,1.52538546e-01,6.22911864e-310,5.95650637e+07,7.04602071e+03,0.00000000e+00,3.41931407e+06,3.41931407e+06,
8,3,1.20000000e+01,1.00000000e+00,1.80631463e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.02999902e+00,2.02999902e+00,2.04325631e-01,3.90491881e+00,1.32277236e-01,6.22911864e-310,5.16531868e+07,6.11011558e+03,0.00000000e+00,2.96513522e+06,2.96513522e+06,
8,3,1.20000000e+01,1.00000000e+00,2.16757756e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.02999902e+00,2.02999902e+00,2.04325631e-01,3.90491881e+00,1.11131273e-01,6.22911864e-310,4.33958601e+07,5.13334679e+03,0.00000000e+00,2.49112593e+06,2.49112593e+06,
8,3,1.20000000e+01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.76899433e+00,2.76899433e+00,3.58150214e-01,2.22778443e+00,1.44074795e-01,6.22911864e-310,3.20967586e+07,4.30866632e+03,0.00000000e+00,2.09092252e+06,2.09092252e+06,
8,3,1.20000000e+01,2.15443469e+00,7.79961481e-01,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.76899433e+00,2.76899433e+00,3.58150214e-01,2.22778443e+00,1.38471104e-01,6.22911864e-310,3.08483769e+07,4.14108366e+03,0.00000000e+00,2.00959750e+06,2.00959750e+06,
8,3,1.20000000e+01,2.15443469e+00,1.55992296e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.76899433e+00,2.76899433e+00,3.58150214e-01,2.22778443e+00,1.22934161e-01,6.22911864e-310,2.73870810e+07,3.67643958e+03,0.00000000e+00,1.78411363e+06,1.78411363e+06,
8,3,1.20000000e+01,2.15443469e+00,2.33988444e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.76899433e+00,2.76899433e+00,3.58150214e-01,2.22778443e+00,1.00815727e-01,6.22911864e-310,2.24595707e+07,3.01497099e+03,0.00000000e+00,1.46311416e+06,1.46311416e+06,
8,3,1.20000000e+01,2.15443469e+00,3.11984592e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.76899433e+00,2.76899433e+00,3.58150214e-01,2.22778443e+00,7.63706167e-02,6.22911864e-310,1.70137271e+07,2.28392137e+03,0.00000000e+00,1.10834821e+06,1.10834821e+06,
8,3,1.20000000e+01,2.15443469e+00,3.89980740e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.76899433e+00,2.76899433e+00,3.58150214e-01,2.22778443e+00,5.34400098e-02,6.22911864e-310,1.19052822e+07,1.59816413e+03,0.00000000e+00,7.75561884e+05,7.75561884e+05,
8,3,1.20000000e+01,2.15443469e+00,4.67976888e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,2.76899433e+00,2.76899433e+00,3.58150214e-01,2.22778443e+00,3.45421298e-02,6.22911864e-310,7.69524188e+06,1.03300866e+03,0.00000000e+00,5.01301541e+05,5.01301541e+05,
8,3,1.20000000e+01,4.64158883e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,4.17946386e+00,4.17946386e+00,8.32144380e-01,9.58828792e-01,9.54529827e-02,6.22911864e-310,9.15230681e+06,1.36202359e+03,0.00000000e+00,6.60966894e+05,6.60966894e+05,
8,3,1.20000000e+01,4.64158883e+00,1.58441747e+00,0.00000000e+00,3.60000000e+03,4.85283000e+02,4.17946386e+00,4.17946386e+00,8.32144380e-01,9.58828792e-01,8.88346668e-02,6.22911864e-310,8.51772362e+06,1.26758650e+03,0.00000000e+00,6.15138178e+05,6.15138178e+05,
