,Unnamed: 0.1,Unnamed: 0,name_hp,longName,CASNumber,agentType,materialType,units,gasDepVelocity,gasDepVelocity_units,antoine_a_hp,antoine_a_units,antoine_b_hp,antoine_b_units,antoine_c_hp,antoine_c_units,liquidDensity_a,liquidDensity_a_units,liquidDensity_b,liquidDensity_b_units,molecularWeight,molecularWeight_units,agent_key,version,agent_type,name_fp,standard_code,description,molecular_weight,molecular_volume,boiling_point,freezing_point,antoine_a_fp,antoine_b_fp,antoine_c_fp,inst_aerosol_present,skin_factor,liquid_density,placard_number,from,name,antoine_a,antoine_b,antoine_c
0,0,1.0,acetocya,Acetone Cyanohydrin,75-86-5,IND,Liquid,kg,0.003,m/s,11.774,log(Torr),2623.415,C-log(Torr),200.0,C,927.0,kg/m^3,0.0,/K,85.105,amu,,,,,,,,,,,,,,,,,,hp,acetocya,11.774,2623.415,200.0
1,1,2.0,ACETONE,Acetone,67-64-1,IND,Liquid,kg,0.003,m/s,7.729577,log(Torr),1312.253,C-log(Torr),240.705,C,786.581,kg/m^3,1.2913,/K,58.08,amu,1004.0,0.0,TIC,Acetone,67-64-1,"volatile, highly flammable liquid; characteristic odor",58.08,73.52829472,56.3,-94.7,7.29958,1312.253,240.705,False,,0.7899,1090.0,hp,Acetone,7.729577,1312.253,240.705
2,2,3.0,acrolein,Acrolein,107-02-8,IND,Liquid,kg,0.003,m/s,7.001,log(Torr),1187.1,C-log(Torr),234.4,C,1953.0,kg/m^3,1.02064,/K,56.063,amu,1011.0,0.0,TIC,Acrolein,107-02-8,flammable liquid with pungent odor,56.06,66.82560496,52.7,-87.7,6.99096,1167.888,231.59,False,,0.8389,1092.0,hp,Acrolein,7.001,1187.1,234.4
3,3,4.0,acrylacid,Acrylic Acid,79-10-7,IND,Liquid,kg,0.003,m/s,5.5712,log(Torr),621.28,C-log(Torr),151.23,C,1051.1,kg/m^3,0.0,/K,72.0,amu,1012.0,0.0,TIC,Acrylic acid,79-10-7,corrosive liquid; acrid odor and fumes,72.06,68.55675007,141.0,13.0,5.57117,621.275,151.221,False,,1.0511,2218.0,hp,Acrylic acid,5.5712,621.28,151.23
4,4,5.0,acryloni,Acrylonitrile,107-13-1,IND,Liquid,kg,0.003,m/s,6.656,log(Torr),1046.86,C-log(Torr),200.0,C,802.26,kg/m^3,0.0,/K,53.063,amu,1013.0,0.0,TIC,Acrylonitrile,107-13-1,"explosive, flammable, and toxic liquid",53.06,66.29185407,77.4,-83.5,6.94171,1255.939,231.297,False,,0.8004,1093.0,hp,Acrylonitrile,6.656,1046.86,200.0
5,5,8.0,allylalc,Allyl Alcohol,107-18-6,IND,Liquid,kg,0.003,m/s,11.6576,log(Torr),4510.213,C-log(Torr),416.797,C,845.39,kg/m^3,1.1823,/K,58.08,amu,1014.0,0.0,TIC,Allyl alcohol,107-18-6,colorless liquid; mustard-like odor,58.08,68.00936768,97.1,-129.0,11.65762,4510.213,416.797,False,,0.854,1098.0,hp,Allyl alcohol,11.6576,4510.213,416.797
6,6,9.0,allylam,Allyl Amne,107-11-9,IND,Liquid,kg,0.003,m/s,20.56,log(Torr),4545.0,C-log(Torr),200.0,C,758.39,kg/m^3,0.0,/K,57.095,amu,,,,,,,,,,,,,,,,,,hp,allylam,20.56,4545.0,200.0
7,7,10.0,allylch,Allyl Chloroformate,2937-50-0,IND,Liquid,kg,0.003,m/s,3.785,log(Torr),282.889,C-log(Torr),200.0,C,1000.0,kg/m^3,0.0,/K,120.54,amu,,,,,,,,,,,,,,,,,,hp,allylch,3.785,282.889,200.0
8,8,12.0,ammonia_liq,Liquid Ammonia,7664-41-7,IND,Liquid,kg,0.0,m/s,7.6041,log(Torr),1026.3,C-log(Torr),250.38,C,638.0,kg/m^3,1.2596,/K,17.031,amu,1019.0,0.0,TIC,Ammonia,7664-41-7,colorless gas,17.03,24.97799941,-33.4,-77.7,7.74396,1113.928,262.741,False,,0.6818,1005.0,hp,Ammonia,7.6041,1026.3,250.38
9,9,13.0,aniline,Aniline,62-53-3,IND,Liquid,kg,0.0,m/s,7.221,log(Torr),1662.0,C-log(Torr),199.1,C,1017.0,kg/m^3,0.819,/K,93.13,amu,1024.0,0.0,TIC,Aniline,62-53-3,oily liquid; darkens on exposure to air and light,93.13,91.15200157,184.0,-6.0,7.22051,1661.858,199.102,False,,1.0217,1547.0,hp,Aniline,7.221,1662.0,199.1
10,10,17.0,arsine_liq,Liquid Arsine,7784-42-1,C&I,Liquid,kg,0.0,m/s,6.31,log(Torr),607.0,C-log(Torr),238.8,C,1184.0,kg/m^3,4.56,/K,77.946,amu,1029.0,0.0,TIC,Arsine,7784-42-1,"colorless, neutral gas; garlic odor",77.95,,-62.5,-116.9,6.30893,606.597,238.844,False,,,2188.0,hp,Arsine,6.31,607.0,238.8
11,11,18.0,benz,Benzene,71-43-2,IND,Liquid,kg,0.0,m/s,6.906,log(Torr),1211.0,C-log(Torr),220.8,C,872.9,kg/m^3,0.0,/K,78.11,amu,1031.0,0.0,TIC,Benzene,71-43-2,"colorless, volatile, highly flammable liquid",78.11,88.89268237,80.1,5.5,6.89324,1203.835,219.924,False,,0.8787,1114.0,hp,Benzene,6.906,1211.0,220.8
12,12,22.0,bortribr,Boron Tribromide,10294-34-4,IND,Liquid,kg,0.003,m/s,6.477,log(Torr),1042.771,C-log(Torr),200.0,C,1000.0,kg/m^3,0.0,/K,250.523,amu,,,,,,,,,,,,,,,,,,hp,bortribr,6.477,1042.771,200.0
13,13,39.0,butdne,Butadiene,106-99-0,IND,Liquid,kg,0.0,m/s,6.873,log(Torr),941.7,C-log(Torr),240.4,C,650.0,kg/m^3,1.117,/K,54.1,amu,1050.0,0.0,TIC,"1,3-Butadiene",106-99-0,"colorless, flammable gas; mild aromatic odor",54.09,87.96552285,-4.4,-108.9,6.87308,941.662,240.397,False,,0.6149,1993.0,hp,"1,3-Butadiene",6.873,941.7,240.4
14,14,41.0,CARBONTET,Carbon Tetrachloride,56-23-5,IND,Liquid,kg,0.003,m/s,6.8983,log(Torr),122.781,C-log(Torr),227.41,C,1583.52,kg/m^3,2.0167,/K,153.82,amu,1071.0,0.0,TIC,Carbon tetrachloride,56-23-5,"colorless, clear, nonflammable, heavy liquid",153.82,96.49937265,76.6,-22.8,6.89801,1221.781,227.411,False,,1.594,1846.0,hp,Carbon tetrachloride,6.8983,122.781,227.41
15,15,43.0,cg,Carbonyl Chloride,75-44-5,C&I,Liquid,kg,0.0,m/s,7.2949,log(Torr),1183.3,C-log(Torr),260.0,C,1373.0,kg/m^3,0.0,/K,98.92,amu,1365.0,0.0,TIC,Phosgene,75-44-5,"colorless, highly toxic gas; suffocating odor",98.92,72.10438079,7.6,-127.8,7.14615,1072.71,243.295,False,,1.3719,1076.0,hp,Phosgene,7.2949,1183.3,260.0
16,16,147.0,phosgene_liq,Liquid Phosgene,75-44-5,C&I,Liquid,kg,0.0,m/s,6.83,log(Torr),945.57,C-log(Torr),231.44,C,1132.7,kg/m^3,3.71,/K,98.915,amu,1365.0,0.0,TIC,Phosgene,75-44-5,"colorless, highly toxic gas; suffocating odor",98.92,72.10438079,7.6,-127.8,7.14615,1072.71,243.295,False,,1.3719,1076.0,hp,Phosgene,6.83,945.57,231.44
17,17,44.0,chloral,Chloral,75-87-6,IND,Liquid,kg,0.003,m/s,7.2037,log(Torr),1466.44,C-log(Torr),241.395,C,1546.0,kg/m^3,1.66,/K,147.39,amu,1418.0,0.0,TIC,Trichloroacetaldehyde,75-87-6,"oily liquid; pungent, irritating odor",147.39,97.47371206,97.7,-57.1,7.20366,1466.442,241.385,False,,1.5121,2075.0,hp,Trichloroacetaldehyde,7.2037,1466.44,241.395
18,18,45.0,chlorfrm,Chloroform,67-66-3,IND,Liquid,kg,0.003,m/s,6.7696,log(Torr),1072.37,C-log(Torr),214.69,C,1498.0,kg/m^3,0.0,/K,119.37,amu,1085.0,0.0,TIC,Chloroform,67-66-3,"nonflammable, heavy, very volatile, sweet-tasting liquid",119.38,80.47185709,61.2,-63.5,7.08282,1233.129,232.197,False,,1.4835,1888.0,hp,Chloroform,6.7696,1072.37,214.69
19,19,46.0,chloroac,Chloroacetone,78-95-5,IND,Liquid,kg,0.003,m/s,6.385,log(Torr),1120.18,C-log(Torr),200.0,C,1150.0,kg/m^3,0.0,/K,92.524,amu,1079.0,0.0,TIC,Chloroacetone,78-95-5,liquid lacrimator; pungent odor,92.53,82.39536955,119.7,-44.5,7.9599,1902.738,255.948,False,,1.123,1695.0,hp,Chloroacetone,6.385,1120.18,200.0
20,20,47.0,CHLOROBENZ,Chlorobenzene,108-90-7,IND,Liquid,kg,0.0,m/s,6.986,log(Torr),1436.0,C-log(Torr),218.0,C,1106.0,kg/m^3,0.0,/K,112.56,amu,1082.0,0.0,TIC,Chlorobenzene,108-90-7,colorless liquid; faint odor,112.56,101.7905589,131.7,-45.2,6.98593,1435.675,218.026,False,,1.1058,1134.0,hp,Chlorobenzene,6.986,1436.0,218.0
21,21,48.0,chloroeth,Chloroethanol,107-07-3,IND,Liquid,kg,0.0,m/s,8.317,log(Torr),2082.0,C-log(Torr),254.3,C,1196.142,kg/m^3,0.00089,/K,80.51,amu,1196.0,0.0,TIC,Ethylene chlorohydrin,107-07-3,colorless liquid; poisonous,80.51,67.25981621,128.6,-67.5,8.31676,2082.063,254.306,False,,1.197,1135.0,hp,Ethylene chlorohydrin,8.317,2082.0,254.3
22,22,49.0,chloroni,chloroacetonitrile,107-14-2,IND,Liquid,kg,0.003,m/s,6.382,log(Torr),1138.0,C-log(Torr),200.0,C,1000.0,kg/m^3,0.0,/K,75.497,amu,,,,,,,,,,,,,,,,,,hp,chloroni,6.382,1138.0,200.0
23,23,50.0,chloroprene,Chloroprene,126-99-8,IND,Liquid,kg,0.0,m/s,6.29,log(Torr),841.9,C-log(Torr),214.8,C,958.0,kg/m^3,0.0,/K,88.54,amu,1089.0,0.0,TIC,Chloroprene,126-99-8,'',88.54,92.61506276,59.4,-130.0,6.29051,841.921,187.786,False,,0.956,1991.0,hp,Chloroprene,6.29,841.9,214.8
24,24,51.0,chlorsul,Chlorosulfonic Acid,7790-94-5,IND,Liquid,kg,0.003,m/s,8.599,log(Torr),2012.765,C-log(Torr),200.0,C,849.5,kg/m^3,0.0,/K,116.525,amu,,,,,,,,,,,,,,,,,,hp,chlorsul,8.599,2012.765,200.0
25,25,52.0,chlortrifl,Chlorine Trifluoride,7790-91-2,IND,Liquid,kg,0.0,m/s,13.3542,log(Torr),4662.34,C-log(Torr),273.16,C,1746.0,kg/m^3,0.0,/K,92.45,amu,1078.0,0.0,TIC,Chlorine trifluoride,7790-91-2,"corrosive, colorless gas; sweet, suffocating odor; extremely reactive",92.5,50.68493151,11.7,-76.1,7.18792,1182.409,262.815,False,,1.825,1749.0,hp,Chlorine trifluoride,13.3542,4662.34,273.16
26,26,55.0,cl2_liq,Liquid Chlorine,7782-50-5,C&I,Liquid,kg,0.0,m/s,7.0147,log(Torr),892.52,C-log(Torr),249.69,C,1471.3,kg/m^3,0.4179,/K,70.906,amu,1075.0,0.0,TIC,Chlorine,7782-50-5,greenish-yellow gas; suffocating odor,70.91,45.31279954,-34.0,-101.0,7.16324,969.992,260.359,False,,1.5649,1017.0,hp,Chlorine,7.0147,892.52,249.69
27,27,59.0,crotonhy,Crotonaldehyde,4170-30-3,IND,Liquid,kg,0.003,m/s,7.147,log(Torr),1296.781,C-log(Torr),200.0,C,1000.0,kg/m^3,0.0,/K,70.09,amu,,,,,,,,,,,,,,,,,,hp,crotonhy,7.147,1296.781,200.0
28,28,61.0,css,Carbon Disulfide,75-15-0,IND,Liquid,kg,0.003,m/s,6.417,log(Torr),871.746,C-log(Torr),200.0,C,1260.0,kg/m^3,0.0,/K,76.143,amu,1068.0,0.0,TIC,Carbon bisulfide,75-15-0,"mobile, poisonous, very flammable liquid",76.14,60.27549082,46.2,-111.6,6.94193,1168.62,241.534,False,,1.2632,1131.0,hp,Carbon bisulfide,6.417,871.746,200.0
29,29,62.0,cyaneth,Cyanoethane,107-12-0,IND,Liquid,kg,0.003,m/s,6.49813,log(Torr),1036.424,C-log(Torr),189.4,C,777.337,kg/m^3,1.0513,/K,55.08,amu,1378.0,0.0,TIC,Propionitrile,107-12-0,liquid; sweetish odor; poisonous when decomposing,55.08,70.45280123,97.4,-92.9,6.49242,1036.424,189.39,False,,0.7818,2404.0,hp,Propionitrile,6.49813,1036.424,189.4
30,30,65.0,diborane_liq,Liquid Diborane,19287-45-7,IND,Liquid,kg,0.0,m/s,6.66,log(Torr),599.0,C-log(Torr),251.0,C,163.0,kg/m^3,1.88,/K,27.67,amu,1127.0,0.0,TIC,Diborane,19287-45-7,"colorless, flammable gas; repulsive, sickly-sweet odor",27.67,131.7619048,-92.5,-165.5,6.65666,598.39,250.975,False,,0.21,1911.0,hp,Diborane,6.66,599.0,251.0
31,31,66.0,DIISOPROP,Diisopropylaminoethanol,96-80-0,IND,Liquid,kg,0.003,m/s,9.1981,log(Torr),2926.1804,C-log(Torr),273.15,C,1025.01,kg/m^3,1.1726,/K,145.24,amu,,,,,,,,,,,,,,,,,,hp,DIISOPROP,9.1981,2926.1804,273.15
32,32,67.0,diisprplmn,Diisopropylamine,108-18-9,IND,Liquid,kg,0.003,m/s,7.633,log(Torr),1697.0,C-log(Torr),273.1,C,713.0,kg/m^3,0.0,/K,101.19,amu,,,,,,,,,,,,,,,,,,hp,diisprplmn,7.633,1697.0,273.1
33,33,68.0,diketene,Diketene,674-82-8,IND,Liquid,kg,0.003,m/s,3.25,log(Torr),53.86,C-log(Torr),200.0,C,1050.7,kg/m^3,0.0,/K,84.074,amu,,,,,,,,,,,,,,,,,,hp,diketene,3.25,53.86,200.0
34,34,69.0,dimethhz,"1,2-Dimethyl hydrazine",57-14-7,IND,Liquid,kg,0.003,m/s,6.406,log(Torr),990.56,C-log(Torr),200.0,C,1000.0,kg/m^3,0.0,/K,60.098,amu,1169.0,0.0,TIC,"1,1-Dimethylhydrazine",57-14-7,"flammable, hygroscopic liquid; fumes in air and gradually turns yellow; ammonia-like fishy odor",60.1,76.85421995,63.9,-57.8,7.58826,1388.51,232.537,False,,0.782,1163.0,hp,"1,1-Dimethylhydrazine",6.406,990.56,200.0
35,35,70.0,dimethsu,Dimethyl Sulfate,77-78-1,IND,Liquid,kg,0.003,m/s,8.017,log(Torr),1922.647,C-log(Torr),200.0,C,1322.5,kg/m^3,0.0,/K,126.133,amu,,,,,,,,,,,,,,,,,,hp,dimethsu,8.017,1922.647,200.0
