,Unnamed: 0.1,Unnamed: 0,istab,wind,stab,x,sig_x,sig_y,sig_z,how
0,0,0,0,0.8,A,0.001,0.001,0.001,0.001,fit
0,0,0,0,0.8,A,1,1.5953823243287808,1.5953823243287808,0.136904699,fit
1,1,1,0,0.8,A,3.1622776601683795,2.631038179308829,2.631038179308829,0.4312823242076855,fit
2,2,2,0,0.8,A,10,9.566412168367236,9.566412168367236,1.594545195,fit
3,3,3,0,0.8,A,31.6227766,19.549243521233727,19.549243521233727,16.23955824058966,fit
4,4,4,0,0.8,A,100,80.80323639,80.80323639,197.70326244158764,fit
5,5,5,0,0.8,A,316.227766,251.2129363512559,251.2129363512559,948.2859326787236,fit
6,6,6,0,0.8,A,1000,854.1422115742014,854.1422115742014,4028.059367532999,fit
7,7,7,0,0.8,A,1778.2794100389228,1821.917731473668,1821.917731473668,6130.787775063498,fit
8,8,8,0,0.8,A,3162.2776601683795,3352.0531438480525,3352.0531438480525,7451.300283512316,fit
9,9,9,0,0.8,A,5623.413251903491,6367.564210517341,6367.564210517341,7452.300283512316,fit
10,10,10,0,0.8,A,10000,9024.747037092786,9024.747037092786,7748.280466755582,fit
11,11,11,0,0.8,A,31622.776601683792,27043.798982294986,27043.798982294986,8465.995738974725,fit
12,12,12,0,0.8,A,100000,50690.59650371837,50690.59650371837,20200.26795100727,fit
78,78,78,0,2.3,A,0.001,0.001,0.001,0.001,fit
78,78,78,0,2.3,A,1,1.048949424398938,1.048949424398938,0.099817713,fit
79,79,79,0,2.3,A,3.1622776601683795,2.2487430156371464,2.2487430156371464,0.6877933552189839,fit
80,80,80,0,2.3,A,10,8.910826482,8.910826482,3.434513066,fit
81,81,81,0,2.3,A,31.6227766,24.99884379639789,24.99884379639789,20.871139764467543,fit
82,82,82,0,2.3,A,100,80.14112001327682,80.14112001327682,86.55025469928808,fit
83,83,83,0,2.3,A,316.227766,224.2755437838967,224.2755437838967,369.7775375,fit
84,84,84,0,2.3,A,1000,677.0441500143473,677.0441500143473,1680.9773913590332,fit
85,85,85,0,2.3,A,1778.2794100389228,1243.837466139257,1243.837466139257,3186.454437372958,fit
86,86,86,0,2.3,A,3162.2776601683795,2281.909378,2281.909378,4764.907439049884,fit
87,87,87,0,2.3,A,5623.413251903491,3757.425553942056,3757.425553942056,5985.844243134058,fit
88,88,88,0,2.3,A,10000,5687.176728471104,5687.176728471104,6657.752459295581,fit
89,89,89,0,2.3,A,31622.776601683792,12545.968658019538,12545.968658019538,6658.752459295581,fit
90,90,90,0,2.3,A,100000,33240.61108,33240.61108,6659.752459295581,fit
13,13,13,1,0.8,B,0.001,0.001,0.001,0.001,fit
13,13,13,1,0.8,B,1,1.1523409706086696,1.1523409706086696,0.101609424,fit
14,14,14,1,0.8,B,3.1622776601683795,3.715808147077412,3.715808147077412,0.2200804513090315,fit
15,15,15,1,0.8,B,10,10.48812679107254,10.48812679107254,0.5785025051699948,fit
16,16,16,1,0.8,B,31.6227766,20.341007290314344,20.341007290314344,5.142551757112529,fit
17,17,17,1,0.8,B,100,73.19779218,73.19779218,98.95776903717018,fit
18,18,18,1,0.8,B,316.227766,237.4716813598468,237.4716813598468,486.9319096479864,fit
19,19,19,1,0.8,B,1000,739.3269613092629,739.3269613092629,2160.953559860259,fit
20,20,20,1,0.8,B,1778.2794100389228,1371.3597792858109,1371.3597792858109,3987.124691,fit
21,21,21,1,0.8,B,3162.2776601683795,2787.2523542305785,2787.2523542305785,5254.986170566818,fit
22,22,22,1,0.8,B,5623.413251903491,4502.869936056075,4502.869936056075,6225.915972160693,fit
23,23,23,1,0.8,B,10000,7220.029375115476,7220.029375115476,6929.644663203102,fit
24,24,24,1,0.8,B,31622.776601683792,21665.358590754324,21665.358590754324,8651.049499370063,fit
25,25,25,1,0.8,B,100000,53910.73116434924,53910.73116434924,18858.703521650208,fit
91,91,91,1,2.3,B,0.001,0.001,0.001,0.001,fit
91,91,91,1,2.3,B,1,0.9802527660666708,0.9802527660666708,0.058221515,fit
92,92,92,1,2.3,B,3.1622776601683795,2.3555280052645418,2.3555280052645418,0.3949724529019243,fit
93,93,93,1,2.3,B,10,8.921202887473527,8.921202887473527,1.7896977093967077,fit
94,94,94,1,2.3,B,31.6227766,23.950468690475613,23.950468690475613,11.371929629134437,fit
95,95,95,1,2.3,B,100,75.57881144041298,75.57881144041298,46.69486443428732,fit
96,96,96,1,2.3,B,316.227766,199.04344936768496,199.04344936768496,182.7302894,fit
97,97,97,1,2.3,B,1000,565.8188291602223,565.8188291602223,828.0115465617955,fit
98,98,98,1,2.3,B,1778.2794100389228,946.6197155038598,946.6197155038598,1710.4911966783277,fit
99,99,99,1,2.3,B,3162.2776601683795,1683.7220140011602,1683.7220140011602,3238.2955696962485,fit
100,100,100,1,2.3,B,5623.413251903491,2751.349945631169,2751.349945631169,4748.680874555421,fit
101,101,101,1,2.3,B,10000,4108.449787,4108.449787,6278.557719710958,fit
102,102,102,1,2.3,B,31622.776601683792,9589.879742,9589.879742,6429.938182708341,fit
103,103,103,1,2.3,B,100000,27876.89639981935,27876.89639981935,6689.272046452014,fit
169,169,169,1,4.1,B,0.001,0.001,0.001,0.001,fit
169,169,169,1,4.1,B,1,0.837737283,0.837737283,0.069747219,fit
