case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,c_surf,c_surf_inf, C_dep, D_dep, delta_dep
23,5,0.8,1,0,0,3600,1800,1.27121,1.27121,0.0307413,25.9411,0.313828,6.43118e-310,1.46539e+08,3.06954852e+04,0.00000000e+00,5.52518734e+07,6.46053503e+07,7.10843182e+07,6.07928250e+07,0.00000000e+00,3.22710653e+09,4.99510725e+01
23,5,8.00000000e-01,1.00000000e+00,6.35606852e-01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,2.76952137e-01,6.43117860e-310,1.29319899e+08,2.70886706e+04,0.00000000e+00,4.87596072e+07,5.70140215e+07,6.27316906e+07,5.36494797e+07,0.00000000e+00,2.84791152e+09,4.99510725e+01
23,5,8.00000000e-01,1.00000000e+00,1.27121370e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,1.90346234e-01,6.43117860e-310,8.88801803e+07,1.86177529e+04,0.00000000e+00,3.35119552e+07,3.91851257e+07,4.31148184e+07,3.68727122e+07,0.00000000e+00,1.95733905e+09,4.99510725e+01
23,5,8.00000000e-01,1.00000000e+00,1.90682056e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,1.01884979e-01,6.43117860e-310,4.75741237e+07,9.96536324e+03,0.00000000e+00,1.79376538e+07,2.09742826e+07,2.30776952e+07,1.97365371e+07,0.00000000e+00,1.04768791e+09,4.99510725e+01
23,5,8.00000000e-01,1.00000000e+00,2.54242741e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,4.24719857e-02,6.43117860e-310,1.98318489e+07,4.15418219e+03,0.00000000e+00,7.47752794e+06,8.74338338e+06,9.62021633e+06,8.22741419e+06,0.00000000e+00,4.36741376e+08,4.99510725e+01
23,5,8.00000000e-01,1.00000000e+00,3.17803426e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,1.37886350e-02,6.43117860e-310,6.43845866e+06,1.34866550e+03,0.00000000e+00,2.42759790e+06,2.83856099e+06,3.12322697e+06,2.67105032e+06,0.00000000e+00,1.41789165e+08,4.99510725e+01
23,5,8.00000000e-01,1.00000000e+00,3.81364111e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.27121365e+00,1.27121365e+00,3.07412948e-02,2.59410847e+01,3.48631040e-03,6.43117860e-310,1.62789612e+06,3.40995795e+02,0.00000000e+00,6.13792432e+05,7.17700099e+05,7.89674880e+05,6.75346799e+05,0.00000000e+00,3.58498896e+07,4.99510725e+01
23,5,8.00000000e-01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,1.35489013e-01,6.43117860e-310,5.07750868e+07,1.04129781e+04,0.00000000e+00,1.87433606e+07,2.22312003e+07,1.17888700e+07,9.93932123e+06,0.00000000e+00,5.35194547e+08,2.40740283e+01
23,5,8.00000000e-01,2.15443469e+00,1.47223120e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,1.19568635e-01,6.43117860e-310,4.48088568e+07,9.18942093e+03,0.00000000e+00,1.65409577e+07,1.96189654e+07,1.04036413e+07,8.77142020e+06,0.00000000e+00,4.72307530e+08,2.40740283e+01
23,5,8.00000000e-01,2.15443469e+00,2.94446240e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,8.21782406e-02,6.43117860e-310,3.07966469e+07,6.31579048e+03,0.00000000e+00,1.13684229e+07,1.34839046e+07,7.15031111e+06,6.02850307e+06,0.00000000e+00,3.24611901e+08,2.40740283e+01
23,5,8.00000000e-01,2.15443469e+00,4.41669360e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,4.39868425e-02,6.43117860e-310,1.64842572e+07,3.38059904e+03,0.00000000e+00,6.08507826e+06,7.21741405e+06,3.82728574e+06,3.22682516e+06,0.00000000e+00,1.73752230e+08,2.40740283e+01
23,5,8.00000000e-01,2.15443469e+00,5.88892481e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,1.83364440e-02,6.43117860e-310,6.87166076e+06,1.40924334e+03,0.00000000e+00,2.53663802e+06,3.00866580e+06,1.59545006e+06,1.34514085e+06,0.00000000e+00,7.24307055e+07,2.40740283e+01
23,5,8.00000000e-01,2.15443469e+00,7.36115601e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,5.95297179e-03,6.43117860e-310,2.23090162e+06,4.57514328e+02,0.00000000e+00,8.23525790e+05,9.76770774e+05,5.17966799e+05,4.36703297e+05,0.00000000e+00,2.35148073e+07,2.40740283e+01
23,5,8.00000000e-01,2.15443469e+00,8.83338721e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.94446230e+00,2.94446230e+00,3.83105166e-02,2.08196819e+01,1.50514698e-03,6.43117860e-310,5.64060264e+05,1.15677738e+02,0.00000000e+00,2.08219928e+05,2.46966328e+05,1.30962516e+05,1.10415885e+05,0.00000000e+00,5.94547437e+06,2.40740283e+01
23,5,8.00000000e-01,4.64158883e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,6.26345778e-02,6.43117860e-310,1.78022997e+07,3.64661237e+03,0.00000000e+00,6.56390226e+06,7.79153052e+06,1.19413580e+06,1.00598857e+06,0.00000000e+00,5.42117238e+07,6.95777598e+00
23,5,8.00000000e-01,4.64158883e+00,3.18468136e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,5.52748192e-02,6.43117860e-310,1.57104738e+07,3.21812402e+03,0.00000000e+00,5.79262324e+06,6.87600134e+06,1.05382111e+06,8.87781771e+05,0.00000000e+00,4.78416770e+07,6.95777598e+00
23,5,8.00000000e-01,4.64158883e+00,6.36936272e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,3.79897872e-02,6.43117860e-310,1.07976393e+07,2.21178194e+03,0.00000000e+00,3.98120749e+06,4.72580158e+06,7.24279886e+05,6.10162838e+05,0.00000000e+00,3.28810687e+07,6.95777598e+00
23,5,8.00000000e-01,4.64158883e+00,9.55404409e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,2.03344629e-02,6.43117860e-310,5.77955844e+06,1.18388128e+03,0.00000000e+00,2.13098630e+06,2.52953870e+06,3.87678994e+05,3.26596555e+05,0.00000000e+00,1.75999636e+07,6.95777598e+00
23,5,8.00000000e-01,4.64158883e+00,1.27387254e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,8.47666428e-03,6.43117860e-310,2.40927812e+06,4.93515082e+02,0.00000000e+00,8.88327148e+05,1.05446849e+06,1.61608629e+05,1.36145683e+05,0.00000000e+00,7.33675550e+06,6.95777598e+00
23,5,8.00000000e-01,4.64158883e+00,1.59234068e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,2.75196964e-03,6.43117860e-310,7.82177992e+05,1.60220870e+02,0.00000000e+00,2.88397566e+05,3.42335755e+05,5.24666339e+04,4.42000267e+04,0.00000000e+00,2.38189549e+06,6.95777598e+00
23,5,8.00000000e-01,4.64158883e+00,1.91080882e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.36936188e+00,6.36936188e+00,5.05202562e-02,1.57902661e+01,6.95806312e-04,6.43117860e-310,1.97765402e+05,4.05101462e+01,0.00000000e+00,7.29182631e+04,8.65559617e+04,1.32656314e+04,1.11755076e+04,0.00000000e+00,6.02236991e+05,6.95777598e+00
23,5,8.00000000e-01,1.00000000e+01,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,3.10042779e-02,6.43117860e-310,6.31576105e+06,1.31826063e+03,0.00000000e+00,2.37286914e+06,2.78121039e+06,6.12624475e+04,5.22678081e+04,0.00000000e+00,2.78121039e+06,1.00000000e+00
23,5,8.00000000e-01,1.00000000e+01,6.43366548e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,2.73611792e-02,6.43117860e-310,5.57363956e+06,1.16336093e+03,0.00000000e+00,2.09404967e+06,2.45440956e+06,5.40639202e+04,4.61261788e+04,0.00000000e+00,2.45440956e+06,1.00000000e+00
23,5,8.00000000e-01,1.00000000e+01,1.28673310e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,1.88050451e-02,6.43117860e-310,3.83070271e+06,7.99565492e+02,0.00000000e+00,1.43921789e+06,1.68688937e+06,3.71575527e+04,3.17020282e+04,0.00000000e+00,1.68688937e+06,1.00000000e+00
23,5,8.00000000e-01,1.00000000e+01,1.93009965e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,1.00656153e-02,6.43117860e-310,2.05042741e+06,4.27976568e+02,0.00000000e+00,7.70357822e+05,9.02926817e+05,1.98890047e+04,1.69688729e+04,0.00000000e+00,9.02926817e+05,1.00000000e+00
23,5,8.00000000e-01,1.00000000e+01,2.57346619e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,4.19597273e-03,6.43117860e-310,8.54745310e+05,1.78407176e+02,0.00000000e+00,3.21132917e+05,3.76395896e+05,8.29097069e+03,7.07367862e+03,0.00000000e+00,3.76395896e+05,1.00000000e+00
23,5,8.00000000e-01,1.00000000e+01,3.21683274e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,1.36223290e-03,6.43117860e-310,2.77495174e+05,5.79203300e+01,0.00000000e+00,1.04256594e+05,1.22197856e+05,2.69168409e+03,2.29648722e+03,0.00000000e+00,1.22197856e+05,1.00000000e+00
23,5,8.00000000e-01,1.00000000e+01,3.86019929e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.28673306e+01,1.28673306e+01,7.04960525e-02,1.13170065e+01,3.44426415e-04,6.43117860e-310,7.01617676e+04,1.46445528e+01,0.00000000e+00,2.63601951e+04,3.08964566e+04,6.80564317e+02,5.80642900e+02,0.00000000e+00,3.08964566e+04,1.00000000e+00
23,5,8.00000000e-01,2.15443469e+01,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.23680763e+01,2.23680763e+01,1.24115661e-01,6.42834786e+00,1.78353420e-02,6.43117860e-310,2.06373209e+06,4.58755900e+02,0.00000000e+00,8.25760620e+05,9.28171882e+05,1.44411527e+03,1.28477660e+03,0.00000000e+00,6.55603646e+04,7.06338620e-02
23,5,8.00000000e-01,2.15443469e+01,1.11840409e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.23680763e+01,2.23680763e+01,1.24115661e-01,6.42834786e+00,1.57396332e-02,6.43117860e-310,1.82123707e+06,4.04850637e+02,0.00000000e+00,7.28731146e+05,8.19108762e+05,1.27442718e+03,1.13381131e+03,0.00000000e+00,5.78568152e+04,7.06338620e-02
23,5,8.00000000e-01,2.15443469e+01,2.23680817e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.23680763e+01,2.23680763e+01,1.24115661e-01,6.42834786e+00,1.08176792e-02,6.43117860e-310,1.25171649e+06,2.78249452e+02,0.00000000e+00,5.00849014e+05,5.62964570e+05,8.75899978e+02,7.79256216e+02,0.00000000e+00,3.97643617e+04,7.06338620e-02
23,5,8.00000000e-01,2.15443469e+01,3.35521226e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.23680763e+01,2.23680763e+01,1.24115661e-01,6.42834786e+00,5.79028469e-03,6.43117860e-310,6.69995355e+05,1.48936155e+02,0.00000000e+00,2.68085079e+05,3.01333130e+05,4.68835334e+02,4.17105671e+02,0.00000000e+00,2.12843227e+04,7.06338620e-02
23,5,8.00000000e-01,2.15443469e+01,4.47361634e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.23680763e+01,2.23680763e+01,1.24115661e-01,6.42834786e+00,2.41374876e-03,6.43117860e-310,2.79295500e+05,6.20858005e+01,0.00000000e+00,1.11754441e+05,1.25614285e+05,1.95439563e+02,1.73875440e+02,0.00000000e+00,8.87262205e+03,7.06338620e-02
23,5,8.00000000e-01,2.15443469e+01,5.59202043e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.23680763e+01,2.23680763e+01,1.24115661e-01,6.42834786e+00,7.83628838e-04,6.43117860e-310,9.06738976e+04,2.01562915e+01,0.00000000e+00,3.62813247e+04,4.07809535e+04,6.34498833e+01,5.64490435e+01,0.00000000e+00,2.88051624e+03,7.06338620e-02
23,5,8.00000000e-01,2.15443469e+01,6.71042451e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,2.23680763e+01,2.23680763e+01,1.24115661e-01,6.42834786e+00,1.98132328e-04,6.43117860e-310,2.29259434e+04,5.09630677e+00,0.00000000e+00,9.17335218e+03,1.03110361e+04,1.60426371e+01,1.42725482e+01,0.00000000e+00,7.28308301e+02,7.06338620e-02
