case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
30,3,4.1,1,0,0,3600,1800,0.7062,0.7062,0.0282117,28.2643,0.564914,6.43118e-310,2.87404e+08,2.11123866e+04,0.00000000e+00,3.80022959e+07,3.93331598e+07,
30,3,4.10000000e+00,1.00000000e+00,3.53100176e-01,0.00000000e+00,3.60000000e+03,1.80000000e+03,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,4.98534631e-01,6.43117860e-310,2.53632905e+08,1.86316158e+04,0.00000000e+00,3.35369084e+07,3.47113917e+07,
30,3,4.10000000e+00,1.00000000e+00,7.06200352e-01,0.00000000e+00,3.60000000e+03,1.80000000e+03,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,3.42637507e-01,6.43117860e-310,1.74319176e+08,1.28053098e+04,0.00000000e+00,2.30495576e+07,2.38567674e+07,
30,3,4.10000000e+00,1.00000000e+00,1.05930053e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,1.83400642e-01,6.43117860e-310,9.33063313e+07,6.85418840e+03,0.00000000e+00,1.23375391e+07,1.27696074e+07,
30,3,4.10000000e+00,1.00000000e+00,1.41240070e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,7.64527619e-02,6.43117860e-310,3.88958657e+07,2.85725082e+03,0.00000000e+00,5.14305148e+06,5.32316433e+06,
30,3,4.10000000e+00,1.00000000e+00,1.76550088e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,2.48205778e-02,6.43117860e-310,1.26276388e+07,9.27613529e+02,0.00000000e+00,1.66970435e+06,1.72817843e+06,
30,3,4.10000000e+00,1.00000000e+00,2.11860106e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,7.06200361e-01,7.06200361e-01,2.82117147e-02,2.82642690e+01,6.27562485e-03,6.43117860e-310,3.19276708e+06,2.34537430e+02,0.00000000e+00,4.22167373e+05,4.36951937e+05,
30,3,4.10000000e+00,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,2.49711008e-01,6.43117860e-310,4.75223474e+07,3.45170025e+03,0.00000000e+00,6.21306045e+06,6.46220556e+06,
30,3,4.10000000e+00,2.15443469e+00,7.98808036e-01,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,2.20369185e-01,6.43117860e-310,4.19383231e+07,3.04611469e+03,0.00000000e+00,5.48300644e+06,5.70287622e+06,
30,3,4.10000000e+00,2.15443469e+00,1.59761607e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,1.51457365e-01,6.43117860e-310,2.88237573e+07,2.09356178e+03,0.00000000e+00,3.76841121e+06,3.91952534e+06,
30,3,4.10000000e+00,2.15443469e+00,2.39642411e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,8.10692805e-02,6.43117860e-310,1.54282446e+07,1.12060280e+03,0.00000000e+00,2.01708505e+06,2.09797061e+06,
30,3,4.10000000e+00,2.15443469e+00,3.19523214e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,3.37946939e-02,6.43117860e-310,6.43144728e+06,4.67136609e+02,0.00000000e+00,8.40845895e+05,8.74564003e+05,
30,3,4.10000000e+00,2.15443469e+00,3.99404018e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,1.09715295e-02,6.43117860e-310,2.08798498e+06,1.51657034e+02,0.00000000e+00,2.72982662e+05,2.83929328e+05,
30,3,4.10000000e+00,2.15443469e+00,4.79284822e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,1.59761596e+00,1.59761596e+00,7.54595548e-02,1.05727434e+01,2.77403674e-03,6.43117860e-310,5.27925215e+05,3.83448987e+01,0.00000000e+00,6.90208177e+04,7.17885679e+04,
30,3,4.10000000e+00,4.64158883e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.41624856e+00,3.41624856e+00,2.34682187e-01,3.39982059e+00,1.16777888e-01,6.43117860e-310,7.14642962e+06,5.19990749e+02,0.00000000e+00,9.35983348e+05,9.72766018e+05,
30,3,4.10000000e+00,4.64158883e+00,1.70812447e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.41624856e+00,3.41624856e+00,2.34682187e-01,3.39982059e+00,1.03056121e-01,6.43117860e-310,6.30670181e+06,4.58890212e+02,0.00000000e+00,8.26002381e+05,8.58462972e+05,
30,3,4.10000000e+00,4.64158883e+00,3.41624893e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.41624856e+00,3.41624856e+00,2.34682187e-01,3.39982059e+00,7.08293610e-02,6.43117860e-310,4.33452815e+06,3.15390294e+02,0.00000000e+00,5.67702530e+05,5.90012344e+05,
30,3,4.10000000e+00,4.64158883e+00,5.12437340e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.41624856e+00,3.41624856e+00,2.34682187e-01,3.39982059e+00,3.79122227e-02,6.43117860e-310,2.32010559e+06,1.68816249e+02,0.00000000e+00,3.03869249e+05,3.15810831e+05,
30,3,4.10000000e+00,4.64158883e+00,6.83249787e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.41624856e+00,3.41624856e+00,2.34682187e-01,3.39982059e+00,1.58041610e-02,6.43117860e-310,9.67163615e+05,7.03730617e+01,0.00000000e+00,1.26671511e+05,1.31649502e+05,
30,3,4.10000000e+00,4.64158883e+00,8.54062233e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.41624856e+00,3.41624856e+00,2.34682187e-01,3.39982059e+00,5.13085926e-03,6.43117860e-310,3.13992017e+05,2.28467854e+01,0.00000000e+00,4.11242137e+04,4.27403305e+04,
30,3,4.10000000e+00,4.64158883e+00,1.02487468e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,3.41624856e+00,3.41624856e+00,2.34682187e-01,3.39982059e+00,1.29728423e-03,6.43117860e-310,7.93896051e+04,5.77657130e+00,0.00000000e+00,1.03978283e+04,1.08064466e+04,
30,3,4.10000000e+00,1.00000000e+01,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.90492868e+00,6.90492868e+00,8.48647118e-01,9.40183468e-01,5.77764536e-02,6.43117860e-310,9.77768397e+05,7.21850516e+01,0.00000000e+00,1.29933093e+05,1.34194575e+05,
30,3,4.10000000e+00,1.00000000e+01,3.45246432e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.90492868e+00,6.90492868e+00,8.48647118e-01,9.40183468e-01,5.09875413e-02,6.43117860e-310,8.62877582e+05,6.37030845e+01,0.00000000e+00,1.14665552e+05,1.18426297e+05,
30,3,4.10000000e+00,1.00000000e+01,6.90492864e+00,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.90492868e+00,6.90492868e+00,8.48647118e-01,9.40183468e-01,3.50431905e-02,6.43117860e-310,5.93046511e+05,4.37824470e+01,0.00000000e+00,7.88084045e+04,8.13931241e+04,
30,3,4.10000000e+00,1.00000000e+01,1.03573930e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.90492868e+00,6.90492868e+00,8.48647118e-01,9.40183468e-01,1.87572682e-02,6.43117860e-310,3.17434923e+05,2.34350551e+01,0.00000000e+00,4.21830992e+04,4.35665999e+04,
30,3,4.10000000e+00,1.00000000e+01,1.38098573e+01,0.00000000e+00,3.60000000e+03,1.80000000e+03,6.90492868e+00,6.90492868e+00,8.48647118e-01,9.40183468e-01,7.81919271e-03,6.43117860e-310,1.32326563e+05,9.76918440e+00,0.00000000e+00,1.75845319e+04,1.81612608e+04,
