iloc,x,y,z,t
0,1.0,0.0,0,3600
1,1.0,0.635606851984801,0,3600
2,1.0,1.271213703969602,0,3600
3,1.0,1.9068205559544031,0,3600
4,1.0,2.542427407939204,0,3600
5,1.0,3.1780342599240052,0,3600
6,1.0,3.8136411119088063,0,3600
7,2.154434690031884,0.0,0,3600
8,2.154434690031884,1.4722312015746024,0,3600
9,2.154434690031884,2.944462403149205,0,3600
10,2.154434690031884,4.4166936047238075,0,3600
11,2.154434690031884,5.88892480629841,0,3600
12,2.154434690031884,7.361156007873012,0,3600
13,2.154434690031884,8.833387209447615,0,3600
14,4.641588833612778,0.0,0,3600
15,4.641588833612778,3.1846813623389076,0,3600
16,4.641588833612778,6.369362724677815,0,3600
17,4.641588833612778,9.554044087016724,0,3600
18,4.641588833612778,12.73872544935563,0,3600
19,4.641588833612778,15.923406811694537,0,3600
20,4.641588833612778,19.108088174033448,0,3600
21,10.0,0.0,0,3600
22,10.0,6.43366548418651,0,3600
23,10.0,12.86733096837302,0,3600
24,10.0,19.30099645255953,0,3600
25,10.0,25.73466193674604,0,3600
26,10.0,32.16832742093255,0,3600
27,10.0,38.60199290511906,0,3600
28,21.544346900318832,0.0,0,3600
29,21.544346900318832,11.1840408559645,0,3600
30,21.544346900318832,22.368081711929,0,3600
31,21.544346900318832,33.552122567893505,0,3600
32,21.544346900318832,44.736163423858,0,3600
33,21.544346900318832,55.9202042798225,0,3600
34,21.544346900318832,67.10424513578701,0,3600
35,46.41588833612777,0.0,0,3600
36,46.41588833612777,18.39444913221326,0,3600
37,46.41588833612777,36.78889826442652,0,3600
38,46.41588833612777,55.18334739663978,0,3600
39,46.41588833612777,73.57779652885304,0,3600
40,46.41588833612777,91.9722456610663,0,3600
41,46.41588833612777,110.36669479327956,0,3600
42,100.0,0.0,0,3600
43,100.0,28.623491002527498,0,3600
44,100.0,57.246982005054996,0,3600
45,100.0,85.87047300758249,0,3600
46,100.0,114.49396401010999,0,3600
47,100.0,143.1174550126375,0,3600
48,100.0,171.74094601516498,0,3600
49,215.44346900318823,0.0,0,3600
50,215.44346900318823,75.82539663008018,0,3600
51,215.44346900318823,151.65079326016036,0,3600
52,215.44346900318823,227.47618989024053,0,3600
53,215.44346900318823,303.3015865203207,0,3600
54,215.44346900318823,379.12698315040086,0,3600
55,215.44346900318823,454.95237978048107,0,3600
56,464.15888336127773,0.0,0,3600
57,464.15888336127773,159.73365279223773,0,3600
58,464.15888336127773,319.46730558447547,0,3600
59,464.15888336127773,479.2009583767132,0,3600
60,464.15888336127773,638.9346111689509,0,3600
61,464.15888336127773,798.6682639611887,0,3600
62,464.15888336127773,958.4019167534263,0,3600
63,1000.0,0.0,0,3600
64,1000.0,267.5887174570038,0,3600
65,1000.0,535.1774349140076,0,3600
66,1000.0,802.7661523710113,0,3600
67,1000.0,1070.3548698280151,0,3600
68,1000.0,1337.943587285019,0,3600
69,1000.0,1605.5323047420227,0,3600
70,2154.4346900318824,0.0,0,3600
71,2154.4346900318824,440.24794210914064,0,3600
72,2154.4346900318824,880.4958842182813,0,3600
73,2154.4346900318824,1320.7438263274219,0,3600
74,2154.4346900318824,1760.9917684365626,0,3600
75,2154.4346900318824,2201.239710545703,0,3600
76,2154.4346900318824,2641.4876526548437,0,3600
77,4641.588833612777,0.0,0,3600
78,4641.588833612777,716.3219143933175,0,3600
79,4641.588833612777,1432.643828786635,0,3600
80,4641.588833612777,2148.9657431799524,0,3600
81,4641.588833612777,2865.28765757327,0,3600
82,4641.588833612777,3581.6095719665873,0,3600
83,4641.588833612777,4297.931486359905,0,3600
84,10000.0,0.0,0,3600
85,10000.0,1051.030465587712,0,3600
86,10000.0,2102.060931175424,0,3600
87,10000.0,3153.091396763136,0,3600
88,10000.0,4204.121862350848,0,3600
89,10000.0,5255.152327938559,0,3600
90,10000.0,6306.182793526272,0,3600
91,21544.346900318822,0.0,0,3600
92,21544.346900318822,1926.6017297349272,0,3600
93,21544.346900318822,3853.2034594698544,0,3600
94,21544.346900318822,5779.8051892047815,0,3600
95,21544.346900318822,7706.406918939709,0,3600
96,21544.346900318822,9633.008648674637,0,3600
97,21544.346900318822,11559.610378409563,0,3600
98,46415.888336127726,0.0,0,3600
99,46415.888336127726,4635.767980702035,0,3600
100,46415.888336127726,9271.53596140407,0,3600
101,46415.888336127726,13907.303942106104,0,3600
102,46415.888336127726,18543.07192280814,0,3600
103,46415.888336127726,23178.839903510176,0,3600
104,46415.888336127726,27814.607884212208,0,3600
105,100000.0,0.0,0,3600
106,100000.0,14642.139550334525,0,3600
107,100000.0,29284.27910066905,0,3600
108,100000.0,43926.41865100357,0,3600
109,100000.0,58568.5582013381,0,3600
110,100000.0,73210.69775167262,0,3600
111,100000.0,87852.83730200714,0,3600
