case,istab,wind,x,y,z,t,dur,sig_x,sig_y,sig_z,zfunc,yfunc,xfunc,qyz,cpeak,concentration,dinf,dose,
6,3,12,1,0,0,3600,1115.18,0.722526,0.722526,0.0582413,13.6976,0.55215,6.92876e-310,7.56313e+08,3.04799684e+04,0.00000000e+00,3.39905425e+07,3.52602639e+07,
6,3,1.20000000e+01,1.00000000e+00,3.61262926e-01,0.00000000e+00,3.60000000e+03,1.11517644e+03,7.22525835e-01,7.22525835e-01,5.82413375e-02,1.36976070e+01,4.87270240e-01,6.92876397e-310,6.67443623e+08,2.68984777e+04,0.00000000e+00,2.99965485e+07,3.11170736e+07,
6,3,1.20000000e+01,1.00000000e+00,7.22525853e-01,0.00000000e+00,3.60000000e+03,1.11517644e+03,7.22525835e-01,7.22525835e-01,5.82413375e-02,1.36976070e+01,3.34895612e-01,6.92876397e-310,4.58726846e+08,1.84870353e+04,0.00000000e+00,2.06163062e+07,2.13864311e+07,
6,3,1.20000000e+01,1.00000000e+00,1.08378878e+00,0.00000000e+00,3.60000000e+03,1.11517644e+03,7.22525835e-01,7.22525835e-01,5.82413375e-02,1.36976070e+01,1.79256703e-01,6.92876397e-310,2.45538787e+08,9.89539695e+03,0.00000000e+00,1.10351135e+07,1.14473317e+07,
6,3,1.20000000e+01,1.00000000e+00,1.44505171e+00,0.00000000e+00,3.60000000e+03,1.11517644e+03,7.22525835e-01,7.22525835e-01,5.82413375e-02,1.36976070e+01,7.47253114e-02,6.92876397e-310,1.02355795e+08,4.12501516e+03,0.00000000e+00,4.60011970e+06,4.77195780e+06,
6,3,1.20000000e+01,1.00000000e+00,1.80631463e+00,0.00000000e+00,3.60000000e+03,1.11517644e+03,7.22525835e-01,7.22525835e-01,5.82413375e-02,1.36976070e+01,2.42597567e-02,6.92876397e-310,3.32300613e+07,1.33919635e+03,0.00000000e+00,1.49344021e+06,1.54922787e+06,
6,3,1.20000000e+01,1.00000000e+00,2.16757756e+00,0.00000000e+00,3.60000000e+03,1.11517644e+03,7.22525835e-01,7.22525835e-01,5.82413375e-02,1.36976070e+01,6.13382709e-03,6.92876397e-310,8.40187526e+06,3.38601863e+02,0.00000000e+00,3.77600819e+05,3.91706149e+05,
6,3,1.20000000e+01,2.15443469e+00,0.00000000e+00,0.00000000e+00,3.60000000e+03,1.11517644e+03,1.55992293e+00,1.55992293e+00,1.68350205e-01,4.73934965e+00,2.55744872e-01,6.92876397e-310,1.21206437e+08,4.88232573e+03,0.00000000e+00,5.44465460e+06,5.64923465e+06,
6,3,1.20000000e+01,2.15443469e+00,7.79961481e-01,0.00000000e+00,3.60000000e+03,1.11517644e+03,1.55992293e+00,1.55992293e+00,1.68350205e-01,4.73934965e+00,2.25694058e-01,6.92876397e-310,1.06964305e+08,4.30863733e+03,0.00000000e+00,4.80489082e+06,4.98543208e+06,
6,3,1.20000000e+01,2.15443469e+00,1.55992296e+00,0.00000000e+00,3.60000000e+03,1.11517644e+03,1.55992293e+00,1.55992293e+00,1.68350205e-01,4.73934965e+00,1.55117106e-01,6.92876397e-310,7.35154203e+07,2.96128024e+03,0.00000000e+00,3.30234995e+06,3.42643402e+06,
