,case,type,hp_done,fp_done,flag,agent_hp,agent_fp,Q_kg,time,U,stability,iwind,istab,zi,surface_temperature,atmPressure,surface_type,puddle_length,puddle_width,puddle_area,py_evap_rate,depletion_time,fn_hpac_conc,fn_hpac_dose,fn_fp_xyzt,fn_fp_params_out,fn_fp_output
0,1,evp,,,1,ACETONE,Acetone,100.0,3600.0,0.8,D,1,3,5500.0,10.0,760,SUR_POROUS,3.9115214431215892,3.9115214431215892,15.3,10280.753849948776,9726.913167996747,evp_hpac_conc_001.tab,evp_hpac_dose_001.tab,"xyzt_(1,3).csv",evp_fp_params_001.csv,evp_fp_out_001.csv
1,2,evp,,,1,ACETONE,Acetone,100.0,3600.0,0.8,D,1,3,5500.0,20.0,760,SUR_POROUS,3.9115214431215892,3.9115214431215892,15.3,15848.73023399219,6309.6537403053935,evp_hpac_conc_002.tab,evp_hpac_dose_002.tab,"xyzt_(1,3).csv",evp_fp_params_002.csv,evp_fp_out_002.csv
2,3,evp,,,1,ACETONE,Acetone,100.0,3600.0,0.8,D,1,3,5500.0,30.0,760,SUR_POROUS,3.9115214431215892,3.9115214431215892,15.3,23624.725839628973,4232.853353678135,evp_hpac_conc_003.tab,evp_hpac_dose_003.tab,"xyzt_(1,3).csv",evp_fp_params_003.csv,evp_fp_out_003.csv
3,4,evp,,,1,ACETONE,Acetone,100.0,3600.0,9.6,D,5,3,5500.0,10.0,760,SUR_POROUS,3.9115214431215892,3.9115214431215892,15.3,75053.32860108154,1332.385942954154,evp_hpac_conc_004.tab,evp_hpac_dose_004.tab,"xyzt_(5,3).csv",evp_fp_params_004.csv,evp_fp_out_004.csv
4,5,evp,,,1,ACETONE,Acetone,100.0,3600.0,9.6,D,5,3,5500.0,20.0,760,SUR_POROUS,3.9115214431215892,3.9115214431215892,15.3,115701.62806374734,864.2920732705998,evp_hpac_conc_005.tab,evp_hpac_dose_005.tab,"xyzt_(5,3).csv",evp_fp_params_005.csv,evp_fp_out_005.csv
5,6,evp,,,1,ACETONE,Acetone,100.0,3600.0,9.6,D,5,3,5500.0,30.0,760,SUR_POROUS,3.9115214431215892,3.9115214431215892,15.3,172469.2894539995,579.8133703488801,evp_hpac_conc_006.tab,evp_hpac_dose_006.tab,"xyzt_(5,3).csv",evp_fp_params_006.csv,evp_fp_out_006.csv
6,7,evp,,,1,ACETONE,Acetone,100.0,3600.0,12.0,D,6,3,5500.0,10.0,760,SUR_POROUS,3.9115214431215892,3.9115214431215892,15.3,89721.79803150923,1114.556353015587,evp_hpac_conc_007.tab,evp_hpac_dose_007.tab,"xyzt_(6,3).csv",evp_fp_params_007.csv,evp_fp_out_007.csv
7,8,evp,,,1,ACETONE,Acetone,100.0,3600.0,12.0,D,6,3,5500.0,20.0,760,SUR_POROUS,3.9115214431215892,3.9115214431215892,15.3,138314.42653567734,722.990381442283,evp_hpac_conc_008.tab,evp_hpac_dose_008.tab,"xyzt_(6,3).csv",evp_fp_params_008.csv,evp_fp_out_008.csv
8,9,evp,,,1,ACETONE,Acetone,100.0,3600.0,12.0,D,6,3,5500.0,30.0,760,SUR_POROUS,3.9115214431215892,3.9115214431215892,15.3,206176.79513292987,485.02063452643284,evp_hpac_conc_009.tab,evp_hpac_dose_009.tab,"xyzt_(6,3).csv",evp_fp_params_009.csv,evp_fp_out_009.csv
9,10,evp,,,1,gb,GB,10.0,3600.0,4.1,D,3,3,5500.0,10.0,760,SUR_NONPOROUS,3.4785054261852175,3.4785054261852175,12.100000000000001,518.7147171795219,19278.419656905746,evp_hpac_conc_010.tab,evp_hpac_dose_010.tab,"xyzt_(3,3).csv",evp_fp_params_010.csv,evp_fp_out_010.csv
