id,case,hp_done,fp_done,flag,agent_hp,agent_fp,Q_kg,time,iwind,istab,U,stability,zi,surface_temperature,atmPressure,surface_type,puddle_length,puddle_width,puddle_area,py_evap_rate,depletion_time,fn_hpac_conc,fn_hpac_dose,fn_fp_conc,fn_fp_dose
0,1,,,1,ACETONE,Acetone,100,3600,0,3,0.8,D,5500,10,760,SUR_POROUS,3.911521443,3.911521443,15.3,10280.75385,9726.913168,evp_hpac_conc_001.dat,evp_hpac_dose_001.dat,evp_fp_conc_001.dat,evp_fp_dose_001.dat
1,2,,,1,ACETONE,Acetone,100,3600,0,3,0.8,D,5500,20,760,SUR_POROUS,3.911521443,3.911521443,15.3,15848.73023,6309.65374,evp_hpac_conc_002.dat,evp_hpac_dose_002.dat,evp_fp_conc_002.dat,evp_fp_dose_002.dat
2,3,,,1,ACETONE,Acetone,100,3600,0,3,0.8,D,5500,30,760,SUR_POROUS,3.911521443,3.911521443,15.3,23624.72584,4232.853354,evp_hpac_conc_003.dat,evp_hpac_dose_003.dat,evp_fp_conc_003.dat,evp_fp_dose_003.dat
3,4,,,1,ACETONE,Acetone,100,3600,4,3,9.6,D,5500,10,760,SUR_POROUS,3.911521443,3.911521443,15.3,75053.3286,1332.385943,evp_hpac_conc_004.dat,evp_hpac_dose_004.dat,evp_fp_conc_004.dat,evp_fp_dose_004.dat
4,5,,,1,ACETONE,Acetone,100,3600,4,3,9.6,D,5500,20,760,SUR_POROUS,3.911521443,3.911521443,15.3,115701.6281,864.2920733,evp_hpac_conc_005.dat,evp_hpac_dose_005.dat,evp_fp_conc_005.dat,evp_fp_dose_005.dat
5,6,,,1,ACETONE,Acetone,100,3600,4,3,9.6,D,5500,30,760,SUR_POROUS,3.911521443,3.911521443,15.3,172469.2895,579.8133703,evp_hpac_conc_006.dat,evp_hpac_dose_006.dat,evp_fp_conc_006.dat,evp_fp_dose_006.dat
6,7,,,1,ACETONE,Acetone,100,3600,5,3,12,D,5500,10,760,SUR_POROUS,3.911521443,3.911521443,15.3,89721.79803,1114.556353,evp_hpac_conc_007.dat,evp_hpac_dose_007.dat,evp_fp_conc_007.dat,evp_fp_dose_007.dat
7,8,,,1,ACETONE,Acetone,100,3600,5,3,12,D,5500,20,760,SUR_POROUS,3.911521443,3.911521443,15.3,138314.4265,722.9903814,evp_hpac_conc_008.dat,evp_hpac_dose_008.dat,evp_fp_conc_008.dat,evp_fp_dose_008.dat
8,9,,,1,ACETONE,Acetone,100,3600,5,3,12,D,5500,30,760,SUR_POROUS,3.911521443,3.911521443,15.3,206176.7951,485.0206345,evp_hpac_conc_009.dat,evp_hpac_dose_009.dat,evp_fp_conc_009.dat,evp_fp_dose_009.dat
9,10,,,1,gb,GB,10,3600,2,3,4.1,D,5500,10,760,SUR_NONPOROUS,3.478505426,3.478505426,12.1,518.7147172,19278.41966,evp_hpac_conc_010.dat,evp_hpac_dose_010.dat,evp_fp_conc_010.dat,evp_fp_dose_010.dat
